PO Number,PO Line,Maximum of Subsidiary,Maximum of Department,Maximum of Location,Maximum of Created By,Maximum of PO Status,Maximum of Date,Maximum of Expected Receipt Date,Maximum of Promise Date,Maximum of Due Date,Maximum of Total Quantity,Maximum of Quantity Fulfilled/Received,Maximum of Open Qty,Maximum of Item Rate,Maximum of Total Quantity Amount,Maximum of Shipping Zip,Maximum of Shipping Country Code,Maximum of Terms,Maximum of Vendor Internal ID,Maximum of Vendor Name,Maximum of Vendor Zip Code,Maximum of Memo,Maximum of Item Internal ID,Maximum of Item MPN Name Custom,Maximum of Item Display Name,Maximum of Item Description,Maximum of Item GL Expense Account,Maximum of Item Type,Maximum of Product Line,Maximum of Primary UOM
P-AL0006396,12,Top Company : PwrQ Holdings : Allied Power and Control,0000 - None,7200 Standard Dr,Vasanthi Abraham,Pending Receipt,07/29/2026,,,,80,0,80,36.23,2898.40,21076,US,Net 30,93433,States Manufacturing LLC,55316,"HUBBELL HEAVY DUTY PRODUCTS, SINGLE POLE DEVICES, INDUSTRIAL GRADE, FEMALE BUS RECEPTACLE, 300/400A 600V AC/DC, SINGLE CONDUCTOR, BROWN, WIRE SIZE  #4 AWG to #4/0 AWG",4755146,HBLFRBBN,"HUBBELL HEAVY DUTY PRODUCTS, SINGLE POLE DEVICES, INDUSTRIAL GRADE, FEMALE BUS RECEPTACLE, 300/400A 600V AC/DC, SINGLE CONDUCTOR, BROWN, WIRE SIZE  #4 AWG to #4/0 AWG","HUBBELL HEAVY DUTY PRODUCTS, SINGLE POLE DEVICES, INDUSTRIAL GRADE, FEMALE BUS RECEPTACLE, 300/400A 600V AC/DC, SINGLE CONDUCTOR, BROWN, WIRE SIZE  #4 AWG to #4/0 AWG",Cost of Sales - Manufactured Product,Inventory Item,,Each
P-AL0006396,13,Top Company : PwrQ Holdings : Allied Power and Control,0000 - None,7200 Standard Dr,Vasanthi Abraham,Pending Receipt,07/29/2026,,,,80,0,80,36.23,2898.40,21076,US,Net 30,93433,States Manufacturing LLC,55316,"HUBBELL HEAVY DUTY PRODUCTS, SINGLE POLE DEVICES, INDUSTRIAL GRADE, FEMALE BUS RECEPTACLE, 300/400A 600V AC/DC, SINGLE CONDUCTOR, ORANGE, WIRE SIZE #4 AWG to #4/0 AWG",4755146,HBLFRBO,"HUBBELL HEAVY DUTY PRODUCTS, SINGLE POLE DEVICES, INDUSTRIAL GRADE, FEMALE BUS RECEPTACLE, 300/400A 600V AC/DC, SINGLE CONDUCTOR, ORANGE, WIRE SIZE #4 AWG to #4/0 AWG","HUBBELL HEAVY DUTY PRODUCTS, SINGLE POLE DEVICES, INDUSTRIAL GRADE, FEMALE BUS RECEPTACLE, 300/400A 600V AC/DC, SINGLE CONDUCTOR, ORANGE, WIRE SIZE #4 AWG to #4/0 AWG",Cost of Sales - Manufactured Product,Inventory Item,,Each
P-AL0006396,14,Top Company : PwrQ Holdings : Allied Power and Control,0000 - None,7200 Standard Dr,Vasanthi Abraham,Pending Receipt,07/29/2026,,,,80,0,80,36.23,2898.40,21076,US,Net 30,93433,States Manufacturing LLC,55316,"HUBBELL HEAVY DUTY PRODUCTS, SINGLE POLE DEVICES, INDUSTRIAL GRADE, FEMALE BUS RECEPTACLE, 300/400A 600V AC/DC, SINGLE CONDUCTOR, YELLOW, WIRE SIZE #4 AWG to #4/0 AWG",4755146,HBLFRBY,"HUBBELL HEAVY DUTY PRODUCTS, SINGLE POLE DEVICES, INDUSTRIAL GRADE, FEMALE BUS RECEPTACLE, 300/400A 600V AC/DC, SINGLE CONDUCTOR, YELLOW, WIRE SIZE #4 AWG to #4/0 AWG","HUBBELL HEAVY DUTY PRODUCTS, SINGLE POLE DEVICES, INDUSTRIAL GRADE, FEMALE BUS RECEPTACLE, 300/400A 600V AC/DC, SINGLE CONDUCTOR, YELLOW, WIRE SIZE #4 AWG to #4/0 AWG",Cost of Sales - Manufactured Product,Inventory Item,,Each
P-AL0006396,15,Top Company : PwrQ Holdings : Allied Power and Control,0000 - None,7200 Standard Dr,Vasanthi Abraham,Pending Receipt,07/29/2026,,,,104,0,104,22.54,2344.16,21076,US,Net 30,93433,States Manufacturing LLC,55316,SQD: 1P 2A 480V 10KA C CURVE TRIP UL489 DIN RAIL MOUNTED MINIATURE CB ,4755146,M9F42102,SQD: 1P 2A 480V 10KA C CURVE TRIP UL489 DIN RAIL MOUNTED MINIATURE CB,SQD: 1P 2A 480V 10KA C CURVE TRIP UL489 DIN RAIL MOUNTED MINIATURE CB ,Cost of Sales - Manufactured Product,Inventory Item,,Each
P-AL0006396,16,Top Company : PwrQ Holdings : Allied Power and Control,0000 - None,7200 Standard Dr,Vasanthi Abraham,Pending Receipt,07/29/2026,,,,8,0,8,613.00,4904.00,21076,US,Net 30,93433,States Manufacturing LLC,55316,HAMMOND 1PH 5KVA 480-240V TRANSFORMER ,4755146,C1F005LES,HAMMOND 1PH 5KVA 480-240V TRANSFORMER,HAMMOND 1PH 5KVA 480-240V TRANSFORMER ,Cost of Sales - Manufactured Product,Inventory Item,,Each
P-AL0006396,17,Top Company : PwrQ Holdings : Allied Power and Control,0000 - None,7200 Standard Dr,Vasanthi Abraham,Pending Receipt,07/29/2026,,,,56,0,56,1101.00,61656.00,21076,US,Net 30,93433,States Manufacturing LLC,55316,IRISS IR WINDOW OUTDOOR IP67 OVERALL WIDTH: 61.75 cm (24.31 in) ,4755146,CAP-ENV-24,IRISS IR WINDOW OUTDOOR IP67 OVERALL WIDTH: 61.75 cm (24.31 in),IRISS IR WINDOW OUTDOOR IP67 OVERALL WIDTH: 61.75 cm (24.31 in) ,Cost of Sales - Manufactured Product,Inventory Item,,Each
P-AL0006396,18,Top Company : PwrQ Holdings : Allied Power and Control,0000 - None,7200 Standard Dr,Vasanthi Abraham,Pending Receipt,07/29/2026,,,,48,0,48,101.39,4866.72,21076,US,Net 30,93433,States Manufacturing LLC,55316,AMRAN: STEP DOWN VOLTAGE TRANSFORMER 1 PHASE; PRIMARY 480 TO SECONDARY 120VAC 150VA,4755146,PT104-480,AMRAN: STEP DOWN VOLTAGE TRANSFORMER 1 PHASE; PRIMARY 480 TO SECONDARY 120VAC 150VA,AMRAN: STEP DOWN VOLTAGE TRANSFORMER 1 PHASE; PRIMARY 480 TO SECONDARY 120VAC 150VA,Cost of Sales - Manufactured Product,Inventory Item,,Each
P-AL0006396,19,Top Company : PwrQ Holdings : Allied Power and Control,0000 - None,7200 Standard Dr,Vasanthi Abraham,Pending Receipt,07/29/2026,,,,72,0,72,89.40,6436.80,21076,US,Net 30,93433,States Manufacturing LLC,55316,"ACCUENERGY SOLID CORE CURRENT TRANSFORMER, PRIMARY-4000A, SECONDARY-5A, 6.30"" * 6.30"" WINDOW SIZE ACCURACY 0.5, 0.5S, 0.2",4755146,AcuCT-S650-4000:5A,"ACCUENERGY SOLID CORE CURRENT TRANSFORMER, PRIMARY-4000A, SECONDARY-5A, 6.30"" * 6.30"" WINDOW SIZE ACCURACY 0.5, 0.5S, 0.2","ACCUENERGY SOLID CORE CURRENT TRANSFORMER, PRIMARY-4000A, SECONDARY-5A, 6.30"" * 6.30"" WINDOW SIZE ACCURACY 0.5, 0.5S, 0.2",Cost of Sales - Manufactured Product,Inventory Item,,Each
P-AL0006397,1,Top Company : PwrQ Holdings : Allied Power and Control,0000 - None,7200 Standard Dr,Vasanthi Abraham,Pending Receipt,07/29/2026,,,,8,0,8,12660.89,101287.12,21076,US,Net 30,93433,States Manufacturing LLC,55316,"ABB 4000AF 4000AS ACB 85kA 3P 100% ETU LSIG EKIP HI-TOUCH MODO Z6HJURAK83LA000005XX AUX 4A/4B, MODBUS TCP, RELT, PADLOCK 8MM PBC & BELL ALARM",4755147,Z6HJURAK83LA000005XX,"ABB 4000AF 4000AS ACB 85kA 3P 100% ETU LSIG EKIP HI-TOUCH MODO Z6HJURAK83LA000005XX AUX 4A/4B, MODBUS TCP, RELT, PADLOCK 8MM PBC & BELL ALARM","ABB 4000AF 4000AS ACB 85kA 3P 100% ETU LSIG EKIP HI-TOUCH MODO Z6HJURAK83LA000005XX AUX 4A/4B, MODBUS TCP, RELT, PADLOCK 8MM PBC & BELL ALARM",Cost of Sales - Manufactured Product,Inventory Item,,Each
P-AL0006397,2,Top Company : PwrQ Holdings : Allied Power and Control,0000 - None,7200 Standard Dr,Vasanthi Abraham,Pending Receipt,07/29/2026,,,,16,0,16,10196.85,163149.60,21076,US,Net 30,93433,States Manufacturing LLC,55316,"ABB 4000AF 4000AS ACB 85kA 3P 100% ETU LSI EKIP HI-TOUCH MOFM Z6HJURJJ83LA00000WXX AUX 4A/4B, MODBUS TCP, RELT, PADLOCK 8MM PBC & BELL ALARM, KIRK KEY PROVISION",4755147,Z6HJURJJ83LA00000WXX,"ABB 4000AF 4000AS ACB 85kA 3P 100% ETU LSI EKIP HI-TOUCH MOFM Z6HJURJJ83LA00000WXX AUX 4A/4B, MODBUS TCP, RELT, PADLOCK 8MM PBC & BELL ALARM, KIRK KEY PROVISION","ABB 4000AF 4000AS ACB 85kA 3P 100% ETU LSI EKIP HI-TOUCH MOFM Z6HJURJJ83LA00000WXX AUX 4A/4B, MODBUS TCP, RELT, PADLOCK 8MM PBC & BELL ALARM, KIRK KEY PROVISION",Cost of Sales - Manufactured Product,Inventory Item,,Each
P-AL0006397,3,Top Company : PwrQ Holdings : Allied Power and Control,0000 - None,7200 Standard Dr,Vasanthi Abraham,Pending Receipt,07/29/2026,,,,8,0,8,1000.00,8000.00,21076,US,Net 30,93433,States Manufacturing LLC,55316,INTERLOCK UNIT B-986 SKRU FOR PANEL MOUNTING WITH PUSH BUTTON & IND LAMP,4755147,S1059001YPBL,INTERLOCK UNIT B-986 SKRU FOR PANEL MOUNTING WITH PUSH BUTTON & IND LAMP,INTERLOCK UNIT B-986 SKRU FOR PANEL MOUNTING WITH PUSH BUTTON & IND LAMP,Cost of Sales - Manufactured Product,Inventory Item,,Each
P-AL0006397,4,Top Company : PwrQ Holdings : Allied Power and Control,0000 - None,7200 Standard Dr,Vasanthi Abraham,Pending Receipt,07/29/2026,,,,16,0,16,6146.50,98344.00,21076,US,Net 30,93433,States Manufacturing LLC,55316,"ABB 2500AF 2500AS ACB 65kA 3P 100% ETU LSI EKIP HI-TOUCH MOFM Z4SGULJJ83LA000005XX AUX 4A/4B, MODBUS TCP, RELT, PADLOCK 8MM PBC & BELL ALARM",4755147,Z4SGULJJ83LA000005XX,"ABB 2500AF 2500AS ACB 65kA 3P 100% ETU LSI EKIP HI-TOUCH MOFM Z4SGULJJ83LA000005XX AUX 4A/4B, MODBUS TCP, RELT, PADLOCK 8MM PBC & BELL ALARM","ABB 2500AF 2500AS ACB 65kA 3P 100% ETU LSI EKIP HI-TOUCH MOFM Z4SGULJJ83LA000005XX AUX 4A/4B, MODBUS TCP, RELT, PADLOCK 8MM PBC & BELL ALARM",Cost of Sales - Manufactured Product,Inventory Item,,Each
P-AL0006397,5,Top Company : PwrQ Holdings : Allied Power and Control,0000 - None,7200 Standard Dr,Vasanthi Abraham,Pending Receipt,07/29/2026,,,,8,0,8,106.66,853.28,21076,US,Net 30,93433,States Manufacturing LLC,55316,SolaHD SVL524100 120W 24V 5A DIN PS INPUT 85-264VAC,4755147,SVL 5-24-100,SolaHD SVL524100 120W 24V 5A DIN PS INPUT 85-264VAC,SolaHD SVL524100 120W 24V 5A DIN PS INPUT 85-264VAC,Cost of Sales - Manufactured Product,Inventory Item,,Each
P-AL0006397,6,Top Company : PwrQ Holdings : Allied Power and Control,0000 - None,7200 Standard Dr,Vasanthi Abraham,Pending Receipt,07/29/2026,,,,16,0,16,180.00,2880.00,21076,US,Net 30,93433,States Manufacturing LLC,55316,COMPACT TYPE THREADED INTERLOCK CYLINDER FOR SMALLER-SIZED SWITCHGEAR4,4755147,MICROCYLINDERI,COMPACT TYPE THREADED INTERLOCK CYLINDER FOR SMALLER-SIZED SWITCHGEAR,COMPACT TYPE THREADED INTERLOCK CYLINDER FOR SMALLER-SIZED SWITCHGEAR,Cost of Sales - Manufactured Product,Inventory Item,,Each
P-AL0006397,7,Top Company : PwrQ Holdings : Allied Power and Control,0000 - None,7200 Standard Dr,Vasanthi Abraham,Pending Receipt,07/29/2026,,,,32,0,32,4674.09,149570.88,21076,US,Net 30,93433,States Manufacturing LLC,55316,"ABB 2000AF 2000AS ACB 65kA 3P 100% ETU LSI EKIP HI-TOUCH MOFM Z2SFUKJJ83LA000005XX AUX 4A/4B, MODBUS TCP, RELT, PADLOCK 8MM PBC & BELL ALARM",4755147,Z2SFUKJJ83LA000005XX,"ABB 2000AF 2000AS ACB 65kA 3P 100% ETU LSI EKIP HI-TOUCH MOFM Z2SFUKJJ83LA000005XX AUX 4A/4B, MODBUS TCP, RELT, PADLOCK 8MM PBC & BELL ALARM","ABB 2000AF 2000AS ACB 65kA 3P 100% ETU LSI EKIP HI-TOUCH MOFM Z2SFUKJJ83LA000005XX AUX 4A/4B, MODBUS TCP, RELT, PADLOCK 8MM PBC & BELL ALARM",Cost of Sales - Manufactured Product,Inventory Item,,Each
P-AL0006397,8,Top Company : PwrQ Holdings : Allied Power and Control,0000 - None,7200 Standard Dr,Vasanthi Abraham,Pending Receipt,07/29/2026,,,,72,0,72,22.51,1620.72,21076,US,Net 30,93433,States Manufacturing LLC,55316,"2 POSITION 22MM ILLUMINATED SELECTOR SWITCH - PLASTIC, MAINTAINED, BLUE",4755147,800FP-LSM26,"2 POSITION 22MM ILLUMINATED SELECTOR SWITCH - PLASTIC, MAINTAINED, BLUE","2 POSITION 22MM ILLUMINATED SELECTOR SWITCH - PLASTIC, MAINTAINED, BLUE",Cost of Sales - Manufactured Product,Inventory Item,,
P-AL0006397,9,Top Company : PwrQ Holdings : Allied Power and Control,0000 - None,7200 Standard Dr,Vasanthi Abraham,Pending Receipt,07/29/2026,,,,72,0,72,44.37,3194.64,21076,US,Net 30,93433,States Manufacturing LLC,55316,"AB PILOT LIGHT: 24-120V AC/DC (24-132V), WHITE LED POWER MODULE, 22.5MM",4755147,800F-NUW,"AB PILOT LIGHT: 24-120V AC/DC (24-132V), WHITE LED POWER MODULE, 22.5MM","AB PILOT LIGHT: 24-120V AC/DC (24-132V), WHITE LED POWER MODULE, 22.5MM",Cost of Sales - Manufactured Product,Inventory Item,,Each
P-AL0006397,10,Top Company : PwrQ Holdings : Allied Power and Control,0000 - None,7200 Standard Dr,Vasanthi Abraham,Pending Receipt,07/29/2026,,,,72,0,72,6.10,439.20,21076,US,Net 30,93433,States Manufacturing LLC,55316,"AB 22.5MM PB NO LATCH, SCREW CONTACT BLOCK 1NO",4755147,800F-X10,"AB 22.5MM PB NO LATCH, SCREW CONTACT BLOCK 1NO","AB 22.5MM PB NO LATCH, SCREW CONTACT BLOCK 1NO",Cost of Sales - Manufactured Product,Inventory Item,,Each
P-AL0006397,11,Top Company : PwrQ Holdings : Allied Power and Control,0000 - None,7200 Standard Dr,Vasanthi Abraham,Pending Receipt,07/29/2026,,,,24,0,24,36.23,869.52,21076,US,Net 30,93433,States Manufacturing LLC,55316,"HUBBELL HEAVY DUTY PRODUCTS, SINGLE POLE DEVICES, INDUSTRIAL GRADE, FEMALE BUS RECEPTACLE, 300/400A 600V AC/DC, SINGLE CONDUCTOR, GREEN, WIRE SIZE  #4 AWG to #4/0 AWG",4755147,HBLFRBGN,"HUBBELL HEAVY DUTY PRODUCTS, SINGLE POLE DEVICES, INDUSTRIAL GRADE, FEMALE BUS RECEPTACLE, 300/400A 600V AC/DC, SINGLE CONDUCTOR, GREEN, WIRE SIZE  #4 AWG to #4/0 AWG","HUBBELL HEAVY DUTY PRODUCTS, SINGLE POLE DEVICES, INDUSTRIAL GRADE, FEMALE BUS RECEPTACLE, 300/400A 600V AC/DC, SINGLE CONDUCTOR, GREEN, WIRE SIZE  #4 AWG to #4/0 AWG",Cost of Sales - Manufactured Product,Inventory Item,,Each
P-AL0006397,12,Top Company : PwrQ Holdings : Allied Power and Control,0000 - None,7200 Standard Dr,Vasanthi Abraham,Pending Receipt,07/29/2026,,,,80,0,80,36.23,2898.40,21076,US,Net 30,93433,States Manufacturing LLC,55316,"HUBBELL HEAVY DUTY PRODUCTS, SINGLE POLE DEVICES, INDUSTRIAL GRADE, FEMALE BUS RECEPTACLE, 300/400A 600V AC/DC, SINGLE CONDUCTOR, BROWN, WIRE SIZE  #4 AWG to #4/0 AWG",4755147,HBLFRBBN,"HUBBELL HEAVY DUTY PRODUCTS, SINGLE POLE DEVICES, INDUSTRIAL GRADE, FEMALE BUS RECEPTACLE, 300/400A 600V AC/DC, SINGLE CONDUCTOR, BROWN, WIRE SIZE  #4 AWG to #4/0 AWG","HUBBELL HEAVY DUTY PRODUCTS, SINGLE POLE DEVICES, INDUSTRIAL GRADE, FEMALE BUS RECEPTACLE, 300/400A 600V AC/DC, SINGLE CONDUCTOR, BROWN, WIRE SIZE  #4 AWG to #4/0 AWG",Cost of Sales - Manufactured Product,Inventory Item,,Each
P-AL0006397,13,Top Company : PwrQ Holdings : Allied Power and Control,0000 - None,7200 Standard Dr,Vasanthi Abraham,Pending Receipt,07/29/2026,,,,80,0,80,36.23,2898.40,21076,US,Net 30,93433,States Manufacturing LLC,55316,"HUBBELL HEAVY DUTY PRODUCTS, SINGLE POLE DEVICES, INDUSTRIAL GRADE, FEMALE BUS RECEPTACLE, 300/400A 600V AC/DC, SINGLE CONDUCTOR, ORANGE, WIRE SIZE #4 AWG to #4/0 AWG",4755147,HBLFRBO,"HUBBELL HEAVY DUTY PRODUCTS, SINGLE POLE DEVICES, INDUSTRIAL GRADE, FEMALE BUS RECEPTACLE, 300/400A 600V AC/DC, SINGLE CONDUCTOR, ORANGE, WIRE SIZE #4 AWG to #4/0 AWG","HUBBELL HEAVY DUTY PRODUCTS, SINGLE POLE DEVICES, INDUSTRIAL GRADE, FEMALE BUS RECEPTACLE, 300/400A 600V AC/DC, SINGLE CONDUCTOR, ORANGE, WIRE SIZE #4 AWG to #4/0 AWG",Cost of Sales - Manufactured Product,Inventory Item,,Each
P-AL0006397,14,Top Company : PwrQ Holdings : Allied Power and Control,0000 - None,7200 Standard Dr,Vasanthi Abraham,Pending Receipt,07/29/2026,,,,80,0,80,36.23,2898.40,21076,US,Net 30,93433,States Manufacturing LLC,55316,"HUBBELL HEAVY DUTY PRODUCTS, SINGLE POLE DEVICES, INDUSTRIAL GRADE, FEMALE BUS RECEPTACLE, 300/400A 600V AC/DC, SINGLE CONDUCTOR, YELLOW, WIRE SIZE #4 AWG to #4/0 AWG",4755147,HBLFRBY,"HUBBELL HEAVY DUTY PRODUCTS, SINGLE POLE DEVICES, INDUSTRIAL GRADE, FEMALE BUS RECEPTACLE, 300/400A 600V AC/DC, SINGLE CONDUCTOR, YELLOW, WIRE SIZE #4 AWG to #4/0 AWG","HUBBELL HEAVY DUTY PRODUCTS, SINGLE POLE DEVICES, INDUSTRIAL GRADE, FEMALE BUS RECEPTACLE, 300/400A 600V AC/DC, SINGLE CONDUCTOR, YELLOW, WIRE SIZE #4 AWG to #4/0 AWG",Cost of Sales - Manufactured Product,Inventory Item,,Each
P-AL0006397,15,Top Company : PwrQ Holdings : Allied Power and Control,0000 - None,7200 Standard Dr,Vasanthi Abraham,Pending Receipt,07/29/2026,,,,104,0,104,22.54,2344.16,21076,US,Net 30,93433,States Manufacturing LLC,55316,SQD: 1P 2A 480V 10KA C CURVE TRIP UL489 DIN RAIL MOUNTED MINIATURE CB ,4755147,M9F42102,SQD: 1P 2A 480V 10KA C CURVE TRIP UL489 DIN RAIL MOUNTED MINIATURE CB,SQD: 1P 2A 480V 10KA C CURVE TRIP UL489 DIN RAIL MOUNTED MINIATURE CB ,Cost of Sales - Manufactured Product,Inventory Item,,Each
P-AL0006397,16,Top Company : PwrQ Holdings : Allied Power and Control,0000 - None,7200 Standard Dr,Vasanthi Abraham,Pending Receipt,07/29/2026,,,,8,0,8,613.00,4904.00,21076,US,Net 30,93433,States Manufacturing LLC,55316,HAMMOND 1PH 5KVA 480-240V TRANSFORMER ,4755147,C1F005LES,HAMMOND 1PH 5KVA 480-240V TRANSFORMER,HAMMOND 1PH 5KVA 480-240V TRANSFORMER ,Cost of Sales - Manufactured Product,Inventory Item,,Each
P-AL0006397,17,Top Company : PwrQ Holdings : Allied Power and Control,0000 - None,7200 Standard Dr,Vasanthi Abraham,Pending Receipt,07/29/2026,,,,56,0,56,1101.00,61656.00,21076,US,Net 30,93433,States Manufacturing LLC,55316,IRISS IR WINDOW OUTDOOR IP67 OVERALL WIDTH: 61.75 cm (24.31 in) ,4755147,CAP-ENV-24,IRISS IR WINDOW OUTDOOR IP67 OVERALL WIDTH: 61.75 cm (24.31 in),IRISS IR WINDOW OUTDOOR IP67 OVERALL WIDTH: 61.75 cm (24.31 in) ,Cost of Sales - Manufactured Product,Inventory Item,,Each
P-AL0006397,18,Top Company : PwrQ Holdings : Allied Power and Control,0000 - None,7200 Standard Dr,Vasanthi Abraham,Pending Receipt,07/29/2026,,,,48,0,48,101.39,4866.72,21076,US,Net 30,93433,States Manufacturing LLC,55316,AMRAN: STEP DOWN VOLTAGE TRANSFORMER 1 PHASE; PRIMARY 480 TO SECONDARY 120VAC 150VA,4755147,PT104-480,AMRAN: STEP DOWN VOLTAGE TRANSFORMER 1 PHASE; PRIMARY 480 TO SECONDARY 120VAC 150VA,AMRAN: STEP DOWN VOLTAGE TRANSFORMER 1 PHASE; PRIMARY 480 TO SECONDARY 120VAC 150VA,Cost of Sales - Manufactured Product,Inventory Item,,Each
P-AL0006397,19,Top Company : PwrQ Holdings : Allied Power and Control,0000 - None,7200 Standard Dr,Vasanthi Abraham,Pending Receipt,07/29/2026,,,,72,0,72,89.40,6436.80,21076,US,Net 30,93433,States Manufacturing LLC,55316,"ACCUENERGY SOLID CORE CURRENT TRANSFORMER, PRIMARY-4000A, SECONDARY-5A, 6.30"" * 6.30"" WINDOW SIZE ACCURACY 0.5, 0.5S, 0.2",4755147,AcuCT-S650-4000:5A,"ACCUENERGY SOLID CORE CURRENT TRANSFORMER, PRIMARY-4000A, SECONDARY-5A, 6.30"" * 6.30"" WINDOW SIZE ACCURACY 0.5, 0.5S, 0.2","ACCUENERGY SOLID CORE CURRENT TRANSFORMER, PRIMARY-4000A, SECONDARY-5A, 6.30"" * 6.30"" WINDOW SIZE ACCURACY 0.5, 0.5S, 0.2",Cost of Sales - Manufactured Product,Inventory Item,,Each
P-AL0006398,1,Top Company : PwrQ Holdings : Allied Power and Control,0000 - None,7200 Standard Dr,Vasanthi Abraham,Pending Receipt,07/29/2026,,,,8,0,8,12660.89,101287.12,21076,US,Net 30,93433,States Manufacturing LLC,55316,"ABB 4000AF 4000AS ACB 85kA 3P 100% ETU LSIG EKIP HI-TOUCH MODO Z6HJURAK83LA000005XX AUX 4A/4B, MODBUS TCP, RELT, PADLOCK 8MM PBC & BELL ALARM",4755148,Z6HJURAK83LA000005XX,"ABB 4000AF 4000AS ACB 85kA 3P 100% ETU LSIG EKIP HI-TOUCH MODO Z6HJURAK83LA000005XX AUX 4A/4B, MODBUS TCP, RELT, PADLOCK 8MM PBC & BELL ALARM","ABB 4000AF 4000AS ACB 85kA 3P 100% ETU LSIG EKIP HI-TOUCH MODO Z6HJURAK83LA000005XX AUX 4A/4B, MODBUS TCP, RELT, PADLOCK 8MM PBC & BELL ALARM",Cost of Sales - Manufactured Product,Inventory Item,,Each
P-AL0006398,2,Top Company : PwrQ Holdings : Allied Power and Control,0000 - None,7200 Standard Dr,Vasanthi Abraham,Pending Receipt,07/29/2026,,,,16,0,16,10196.85,163149.60,21076,US,Net 30,93433,States Manufacturing LLC,55316,"ABB 4000AF 4000AS ACB 85kA 3P 100% ETU LSI EKIP HI-TOUCH MOFM Z6HJURJJ83LA00000WXX AUX 4A/4B, MODBUS TCP, RELT, PADLOCK 8MM PBC & BELL ALARM, KIRK KEY PROVISION",4755148,Z6HJURJJ83LA00000WXX,"ABB 4000AF 4000AS ACB 85kA 3P 100% ETU LSI EKIP HI-TOUCH MOFM Z6HJURJJ83LA00000WXX AUX 4A/4B, MODBUS TCP, RELT, PADLOCK 8MM PBC & BELL ALARM, KIRK KEY PROVISION","ABB 4000AF 4000AS ACB 85kA 3P 100% ETU LSI EKIP HI-TOUCH MOFM Z6HJURJJ83LA00000WXX AUX 4A/4B, MODBUS TCP, RELT, PADLOCK 8MM PBC & BELL ALARM, KIRK KEY PROVISION",Cost of Sales - Manufactured Product,Inventory Item,,Each
P-AL0006398,3,Top Company : PwrQ Holdings : Allied Power and Control,0000 - None,7200 Standard Dr,Vasanthi Abraham,Pending Receipt,07/29/2026,,,,8,0,8,1000.00,8000.00,21076,US,Net 30,93433,States Manufacturing LLC,55316,INTERLOCK UNIT B-986 SKRU FOR PANEL MOUNTING WITH PUSH BUTTON & IND LAMP,4755148,S1059001YPBL,INTERLOCK UNIT B-986 SKRU FOR PANEL MOUNTING WITH PUSH BUTTON & IND LAMP,INTERLOCK UNIT B-986 SKRU FOR PANEL MOUNTING WITH PUSH BUTTON & IND LAMP,Cost of Sales - Manufactured Product,Inventory Item,,Each
P-AL0006398,4,Top Company : PwrQ Holdings : Allied Power and Control,0000 - None,7200 Standard Dr,Vasanthi Abraham,Pending Receipt,07/29/2026,,,,16,0,16,6146.50,98344.00,21076,US,Net 30,93433,States Manufacturing LLC,55316,"ABB 2500AF 2500AS ACB 65kA 3P 100% ETU LSI EKIP HI-TOUCH MOFM Z4SGULJJ83LA000005XX AUX 4A/4B, MODBUS TCP, RELT, PADLOCK 8MM PBC & BELL ALARM",4755148,Z4SGULJJ83LA000005XX,"ABB 2500AF 2500AS ACB 65kA 3P 100% ETU LSI EKIP HI-TOUCH MOFM Z4SGULJJ83LA000005XX AUX 4A/4B, MODBUS TCP, RELT, PADLOCK 8MM PBC & BELL ALARM","ABB 2500AF 2500AS ACB 65kA 3P 100% ETU LSI EKIP HI-TOUCH MOFM Z4SGULJJ83LA000005XX AUX 4A/4B, MODBUS TCP, RELT, PADLOCK 8MM PBC & BELL ALARM",Cost of Sales - Manufactured Product,Inventory Item,,Each
P-AL0006398,5,Top Company : PwrQ Holdings : Allied Power and Control,0000 - None,7200 Standard Dr,Vasanthi Abraham,Pending Receipt,07/29/2026,,,,8,0,8,106.66,853.28,21076,US,Net 30,93433,States Manufacturing LLC,55316,SolaHD SVL524100 120W 24V 5A DIN PS INPUT 85-264VAC,4755148,SVL 5-24-100,SolaHD SVL524100 120W 24V 5A DIN PS INPUT 85-264VAC,SolaHD SVL524100 120W 24V 5A DIN PS INPUT 85-264VAC,Cost of Sales - Manufactured Product,Inventory Item,,Each
P-AL0006398,6,Top Company : PwrQ Holdings : Allied Power and Control,0000 - None,7200 Standard Dr,Vasanthi Abraham,Pending Receipt,07/29/2026,,,,16,0,16,180.00,2880.00,21076,US,Net 30,93433,States Manufacturing LLC,55316,COMPACT TYPE THREADED INTERLOCK CYLINDER FOR SMALLER-SIZED SWITCHGEAR4,4755148,MICROCYLINDERI,COMPACT TYPE THREADED INTERLOCK CYLINDER FOR SMALLER-SIZED SWITCHGEAR,COMPACT TYPE THREADED INTERLOCK CYLINDER FOR SMALLER-SIZED SWITCHGEAR,Cost of Sales - Manufactured Product,Inventory Item,,Each
